,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:16Z,read,1,EEA10001,Stellantis1,Stellantis1,8,8,-71,-77,6,1.908627030841055,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:18Z,read,1,EEA10001,Stellantis1,Stellantis1,5,4,-72,-79,7,3.366501646120694,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:20Z,read,1,EEA10001,Stellantis1,Stellantis1,3,12,-69,-80,11,3.058767824804719,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:22Z,read,1,EEA10001,Stellantis1,Stellantis1,8,15,-68,-79,11,3.0189875313233294,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:24Z,read,1,EEA10001,Stellantis1,Stellantis1,8,19,-63,-74,11,3.7720114230259942,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:26Z,read,1,EEA10001,Stellantis1,Stellantis1,9,22,-64,-80,16,4.625358298979593,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:28Z,read,1,EEA10001,Stellantis1,Stellantis1,9,21,-64,-75,11,4.109802451514692,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:30Z,read,1,EEA10001,Stellantis1,Stellantis1,9,20,-65,-75,10,4.547989723637884,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:32Z,read,1,EEA10001,Stellantis1,Stellantis1,9,21,-65,-76,11,4.276736628607868,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:34Z,read,1,EEA10001,Stellantis1,Stellantis1,9,19,-65,-75,10,3.9647570222668196,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:13:42Z,read,1,EEA10001,Stellantis1,Stellantis1,1,1,-74,-74,0,,far
